[19473.909422] module init
[19486.395166] forward_port:1111, drop_port:2222
[19502.835633] drop: PRE_ROUTING (6; 2222; 55090; 192.168.56.101; 192.168.56.102)
[19509.836498] forward: FORWARD (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19509.836506] forward: POST_ROUTING (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19509.836534] drop: PRE_ROUTING (6; 2222; 55090; 192.168.56.101; 192.168.56.102)
[19509.836542] drop: PRE_ROUTING (6; 3333; 3333; 192.168.56.101; 192.168.56.102)
[19509.851915] drop: PRE_ROUTING (6; 2222; 55090; 192.168.56.101; 192.168.56.102)
[19509.851929] drop: PRE_ROUTING (6; 3333; 3333; 192.168.56.101; 192.168.56.102)
[19509.851938] forward: PRE_ROUTING (6; 1111; 52272; 192.168.56.101; 192.168.56.102)
[19509.851950] forward: FORWARD (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19509.851958] forward: POST_ROUTING (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19517.852935] drop: PRE_ROUTING (6; 2222; 55090; 192.168.56.101; 192.168.56.102)
[19517.852954] drop: PRE_ROUTING (6; 3333; 3333; 192.168.56.101; 192.168.56.102)
[19517.852963] forward: PRE_ROUTING (6; 1111; 52272; 192.168.56.101; 192.168.56.102)
[19517.852976] forward: FORWARD (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19517.852983] forward: POST_ROUTING (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19517.867656] forward: PRE_ROUTING (6; 1111; 52272; 192.168.56.101; 192.168.56.102)
[19517.867673] forward: FORWARD (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19517.867679] forward: POST_ROUTING (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19517.867685] drop: PRE_ROUTING (6; 2222; 55090; 192.168.56.101; 192.168.56.102)
[19517.867691] drop: PRE_ROUTING (6; 3333; 3333; 192.168.56.101; 192.168.56.102)
[19533.864644] forward: PRE_ROUTING (6; 1111; 52272; 192.168.56.101; 192.168.56.102)
[19533.864699] forward: FORWARD (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19533.864731] forward: POST_ROUTING (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19533.864785] drop: PRE_ROUTING (6; 2222; 55090; 192.168.56.101; 192.168.56.102)
[19533.864793] drop: PRE_ROUTING (6; 3333; 3333; 192.168.56.101; 192.168.56.102)
[19533.883862] drop: PRE_ROUTING (6; 2222; 55090; 192.168.56.101; 192.168.56.102)
[19533.883880] drop: PRE_ROUTING (6; 3333; 3333; 192.168.56.101; 192.168.56.102)
[19533.884038] forward: PRE_ROUTING (6; 1111; 52272; 192.168.56.101; 192.168.56.102)
[19533.884048] forward: FORWARD (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19533.884052] forward: POST_ROUTING (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19565.964060] forward: PRE_ROUTING (6; 1111; 52272; 192.168.56.101; 192.168.56.102)
[19565.964099] forward: FORWARD (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19565.964106] forward: POST_ROUTING (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19565.964121] drop: PRE_ROUTING (6; 2222; 55090; 192.168.56.101; 192.168.56.102)
[19565.964133] drop: PRE_ROUTING (6; 3333; 3333; 192.168.56.101; 192.168.56.102)
[19566.960825] drop: PRE_ROUTING (6; 2222; 55090; 192.168.56.101; 192.168.56.102)
[19566.960846] drop: PRE_ROUTING (6; 3333; 3333; 192.168.56.101; 192.168.56.102)
[19566.960855] forward: PRE_ROUTING (6; 1111; 52272; 192.168.56.101; 192.168.56.102)
[19566.960892] forward: FORWARD (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19566.960899] forward: POST_ROUTING (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19568.960674] drop: PRE_ROUTING (6; 2222; 55090; 192.168.56.101; 192.168.56.102)
[19568.960694] drop: PRE_ROUTING (6; 3333; 3333; 192.168.56.101; 192.168.56.102)
[19568.960703] forward: PRE_ROUTING (6; 1111; 52272; 192.168.56.101; 192.168.56.102)
[19568.960741] forward: FORWARD (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19568.960748] forward: POST_ROUTING (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19572.960764] drop: PRE_ROUTING (6; 2222; 55090; 192.168.56.101; 192.168.56.102)
[19572.960784] drop: PRE_ROUTING (6; 3333; 3333; 192.168.56.101; 192.168.56.102)
[19572.960793] forward: PRE_ROUTING (6; 1111; 52272; 192.168.56.101; 192.168.56.102)
[19572.960829] forward: FORWARD (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19572.960837] forward: POST_ROUTING (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19580.960601] drop: PRE_ROUTING (6; 2222; 55090; 192.168.56.101; 192.168.56.102)
[19580.960622] drop: PRE_ROUTING (6; 3333; 3333; 192.168.56.101; 192.168.56.102)
[19580.960632] forward: PRE_ROUTING (6; 1111; 52272; 192.168.56.101; 192.168.56.102)
[19580.960645] forward: FORWARD (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19580.960653] forward: POST_ROUTING (6; 7777; 7777; 192.168.56.101; 100.1.1.0)
[19584.470041] module exit
